timestamp,P2
2018-06-01 02:57:48.885611,3.97
2018-06-01 02:58:07.369185,3.4
2018-06-01 03:00:14.646125,5.82
2018-06-01 03:00:37.166680,3.5
2018-06-01 03:00:40.590251,3.9
2018-06-01 03:02:45.465492,6.1
2018-06-01 03:03:07.090643,3.47
2018-06-01 03:03:32.772393,3.5
2018-06-01 03:05:16.474012,6.32
2018-06-01 03:05:36.994933,3.83
2018-06-01 03:06:24.883916,3.7
2018-06-01 03:07:47.672931,6.12
2018-06-01 03:08:06.817612,4.6
2018-06-01 03:09:16.729415,3.47
2018-06-01 03:10:18.935752,5.8
2018-06-01 03:10:36.732660,3.57
2018-06-01 03:12:08.779181,3.4
2018-06-01 03:12:50.155998,5.87
2018-06-01 03:13:07.363686,3.73
2018-06-01 03:15:00.295144,3.93
2018-06-01 03:15:21.191358,6.0
2018-06-01 03:15:37.078710,3.93
2018-06-01 03:17:52.241953,5.93
2018-06-01 03:17:52.792025,5.1
2018-06-01 03:18:07.076351,4.3
2018-06-01 03:20:23.377470,5.93
2018-06-01 03:20:36.820514,3.2
2018-06-01 03:20:45.175595,5.57
2018-06-01 03:22:54.435479,6.37
2018-06-01 03:23:06.763270,4.07
2018-06-01 03:23:37.089100,5.17
2018-06-01 03:25:25.356170,6.1
2018-06-01 03:25:36.622919,4.0
2018-06-01 03:26:29.228830,4.63
2018-06-01 03:27:56.299783,5.9
2018-06-01 03:28:06.331809,3.2
2018-06-01 03:29:21.369360,4.57
2018-06-01 03:30:27.240344,5.97
2018-06-01 03:30:36.251165,3.2
2018-06-01 03:32:12.990994,4.2
2018-06-01 03:32:58.072678,6.18
2018-06-01 03:33:06.267860,3.13
2018-06-01 03:35:04.929594,3.93
2018-06-01 03:35:29.204786,5.97
2018-06-01 03:35:35.979209,2.87
2018-06-01 03:37:56.553345,3.93
2018-06-01 03:38:00.330681,5.4
2018-06-01 03:38:06.106495,3.27
2018-06-01 03:40:31.515530,4.95
2018-06-01 03:40:35.982194,2.7
2018-06-01 03:40:48.308110,4.53
2018-06-01 03:43:02.454018,5.57
2018-06-01 03:43:05.994290,2.87
2018-06-01 03:43:39.997933,3.83
2018-06-01 03:45:33.497137,5.25
2018-06-01 03:45:35.805290,3.2
2018-06-01 03:46:31.417129,3.9
2018-06-01 03:48:04.677414,4.5
2018-06-01 03:48:05.825840,2.9
2018-06-01 03:49:23.164590,4.37
2018-06-01 03:50:35.879766,5.12
